overall,vote,verified,reviewTime,reviewerID,asin,reviewerName,reviewText,summary,unixReviewTime,image,style
2,12,False,"09 22, 2016",A1IDMI31WEANAF,0020232233,Mackenzie Kent,"When it comes to a DM's screen, the space on the screen itself is at an absolute premium. The fact that 50% of this space is wasted on art (and not terribly informative or needed art as well) makes it completely useless. The only reason that I gave it 2 stars and not 1 was that, technically speaking, it can at least still stand up to block your notes and dice rolls. Other than that, it drops the ball completely.",The fact that 50% of this space is wasted on art (and not terribly informative or needed art ...,1474502400,,
1,21,False,"09 18, 2016",A4BCEVVZ4Y3V3,0020232233,Jonathan Christian,"An Open Letter to GaleForce9*:

Your unpainted miniatures are very not bad. Your spell cards are great. Your board games are ""meh"". Your DM screens, however, are freaking terrible. I'm still waiting for a single screen that isn't polluted with pointless artwork where useful, reference-able tables should be. Once again, you've created a single use screen that is only useful when running the ""Storm King's Thunder"" adventure. Even despite the fact that it's geared to that adventure path, it's usefulness negligible, at best. I massive swath of the inner panel is wasted on artwork and a bloated overland map, which could have been easily reduced to a single panel in size. And the few table you have are nigh-useless themselves.

In short, stop making crap DM screens.",Another worthless Dungeon Master's screen from GaleForce9,1474156800,,
3,19,True,"09 12, 2016",A2EZ9PY1IHHBX0,0020232233,unpreparedtodie,"Nice art, nice printing.  Why two panels are filled with a general Forgotten Realms map is beyond me.  Most of one of them is all blue ocean.  Such a waste.

I don't understand why they can't make these DM Screens more useful for these ""kinds of adventures"" rather than solely the specific adventure.  You're supposed to be able to transpose this adventure to other lands outside the Forgotten Realms.  So even just a list of new monsters or NPCs would at least be useful than the map.  Even more would just be stuff related to running the game but broad-use stuff related to giants.

Same thing with Curse of Strahd.  Why not make it useful for raven loft, undead or horror campaigns in general... instead a huge amount of screen space is solely mapping out Castle Ravenloft, which is only useful during a small fraction of the time even for the Curse of Strahd adventure, let alone various other Ravenloft adventuring.

They really kill the extended use of these screens by not thinking about their potential use, both for the adventure in question, as well as use in a broader sense.

The Rage of Demons screen is far more useful for broad under dark adventuring - covering a lot of rules for the various conditions you may suffer... and the map is only one panel.

This Storm Giants one is decent for a few tables it includes - but really misses the mark.  Maybe they should ask a few DMs what they would use?","pretty, but also pretty useless",1473638400,,
5,,True,"03 2, 2017",A139PXTTC2LGHZ,0020232233,Ashley,Amazing buy! Bought it as a gift for our new dm and it's perfect!,Five Stars,1488412800,,
1,3,True,"02 8, 2017",A3IB33V29XIL8O,0020232233,Oghma_EM,"As my review of GF9's previous screens these were completely unnecessary and nearly useless. Skip them, this is the definition of a waste of money.",Money trap,1486512000,,
5,,True,"01 27, 2017",A1J86V48S4KRJE,0020232233,Cynthia A. Evoniuk,Grandson loves,Five Stars,1485475200,,
5,,False,"01 2, 2017",A14J12PRBLGHF4,0020232233,Amazon Customer,"I have bought many gm screens over the years, but this one is the best I have ever seen. It has all the relevant information I need , and no crap filler on it. Very happy with this screen.",Best gm screen ever,1483315200,,
5,,True,"12 17, 2016",A2UKOWP9ICU416,0020232233,anon9df0,Came in perfect condition.,Five Stars,1481932800,,
4,,False,"12 15, 2016",A2ONKKDETRWT79,0020232233,Consumer Dad,Could be better but its still great. I love the things on the DM's side of the screen and I actually like the map in the middle makes it easy to reference whats around at any given time.,Great but could be even better,1481760000,,
3,13,True,"12 9, 2016",AK9GN9KZZNTEP,0020232233,Dallas Gamer Family,"My review will mirror others in that this kind of misses the mark and there are some lost opportunities to help DM's.  I wouldn't advise new DM's to use this by itself.  They should stick to the generic 5e DM screen and just copy/print the other useful information for SKT.
I do like that the information they did put in the screen was relevant to the game and makes accessible some of the frequently visited tables from the adventure book.  I also like the map from the perspective that it contains the page references to the cities and locations. This is pretty useful, especially during Ch 3 of the adventure.
However, there is a very Large amount of wasted space that could easily have been utilized instead of having the whole map take up 2 panels of the screen. The middle of the ocean could have contained info on the Giant hierarchy, the Giant Rune symbols, the Random encounters at Sea table from the DMG, trap tables, or any number of other usefully applicable information to the story.  I would have done away with the Sea portion of the map completely and used that space more efficiently.  In all actuality, the entire map could have been an extra insert, freeing up far more space and making this product far more appealing...or the Adventure book could have included it as a tear out.  There should have been better collaboration on this product.
On a different note, the printing on my copy of the screen was not sized correctly.  The Left and right creases are right over the edge of the words...especially on the Right side.  It is almost illegible when the screen is up and in it's general position at the gaming table.(See attached pic)

I can understand the idea and desire to produce tailored DM Screens for these adventure books, but I don't feel they've truly taken the time to get feedback on their ideas from enough sources before printing. It's coming across as licensed money grab instead of a Value Add product to the adventure line.",Another missed opportunity.  Not a value add to the product line.,1481241600,"['https://images-na.ssl-images-amazon.com/images/I/718LAfAbT2L._SY88.jpg', 'https://images-na.ssl-images-amazon.com/images/I/718LAfAbT2L._SY88.jpg']",
