Method,Metric,Best Value,Threshold,Accuracy,Precision,Recall,F1 Score
wup,Accuracy,0.875,0.81,1.0,0.75,0.8571428571428571,0.875
wup,Precision,1.0,0.81,0.875,0.75,0.8571428571428571,1.0
wup,Recall,1.0,0.0,0.5,0.5,0.6666666666666666,1.0
wup,F1 Score,0.8571428571428571,0.81,0.875,1.0,0.75,0.8571428571428571
res,Accuracy,0.75,0.01,0.75,0.75,0.75,0.75
res,Precision,1.0,0.26,0.625,0.25,0.4,1.0
res,Recall,1.0,0.0,0.5,0.5,0.6666666666666666,1.0
res,F1 Score,0.75,0.01,0.75,0.75,0.75,0.75
jcn,Accuracy,0.875,0.19,1.0,0.75,0.8571428571428571,0.875
jcn,Precision,1.0,0.19,0.875,0.75,0.8571428571428571,1.0
jcn,Recall,1.0,0.0,0.5,0.5,0.6666666666666666,1.0
jcn,F1 Score,0.8571428571428571,0.19,0.875,1.0,0.75,0.8571428571428571
lin,Accuracy,0.875,0.17,0.8,1.0,0.888888888888889,0.875
lin,Precision,1.0,0.65,0.625,0.25,0.4,1.0
lin,Recall,1.0,0.0,0.5,0.5,0.6666666666666666,1.0
lin,F1 Score,0.888888888888889,0.17,0.875,0.8,1.0,0.888888888888889
path,Accuracy,0.875,0.47000000000000003,1.0,0.75,0.8571428571428571,0.875
path,Precision,1.0,0.47000000000000003,0.875,0.75,0.8571428571428571,1.0
path,Recall,1.0,0.0,0.5,0.5,0.6666666666666666,1.0
path,F1 Score,0.8571428571428571,0.47000000000000003,0.875,1.0,0.75,0.8571428571428571
lch,Accuracy,0.875,0.17,0.8,1.0,0.888888888888889,0.875
lch,Precision,1.0,0.62,0.625,0.25,0.4,1.0
lch,Recall,1.0,0.0,0.5,0.5,0.6666666666666666,1.0
lch,F1 Score,0.888888888888889,0.17,0.875,0.8,1.0,0.888888888888889
