Threshold,Accuracy,Precision,Recall,F1 Score,Method,Category
0.0,0.5,0.5,1.0,0.6666666666666666,wup,Dangerous
0.01,0.75,0.6666666666666666,1.0,0.8,wup,Dangerous
0.02,0.75,0.6666666666666666,1.0,0.8,wup,Dangerous
0.03,0.75,0.6666666666666666,1.0,0.8,wup,Dangerous
0.04,0.75,0.6666666666666666,1.0,0.8,wup,Dangerous
0.05,0.75,0.6666666666666666,1.0,0.8,wup,Dangerous
0.06,0.75,0.6666666666666666,1.0,0.8,wup,Dangerous
0.07,0.75,0.6666666666666666,1.0,0.8,wup,Dangerous
0.08,0.75,0.6666666666666666,1.0,0.8,wup,Dangerous
0.09,0.75,0.6666666666666666,1.0,0.8,wup,Dangerous
0.1,0.75,0.6666666666666666,1.0,0.8,wup,Dangerous
0.11,0.75,0.6666666666666666,1.0,0.8,wup,Dangerous
0.12,0.75,0.6666666666666666,1.0,0.8,wup,Dangerous
0.13,0.75,0.6666666666666666,1.0,0.8,wup,Dangerous
0.14,0.75,0.6666666666666666,1.0,0.8,wup,Dangerous
0.15,0.75,0.6666666666666666,1.0,0.8,wup,Dangerous
0.16,0.75,0.6666666666666666,1.0,0.8,wup,Dangerous
0.17,0.75,0.6666666666666666,1.0,0.8,wup,Dangerous
0.18,0.75,0.6666666666666666,1.0,0.8,wup,Dangerous
0.19,0.75,0.6666666666666666,1.0,0.8,wup,Dangerous
0.2,0.75,0.6666666666666666,1.0,0.8,wup,Dangerous
0.21,0.75,0.6666666666666666,1.0,0.8,wup,Dangerous
0.22,0.75,0.6666666666666666,1.0,0.8,wup,Dangerous
0.23,0.75,0.6666666666666666,1.0,0.8,wup,Dangerous
0.24,0.625,0.6,0.75,0.6666666666666665,wup,Dangerous
0.25,0.625,0.6,0.75,0.6666666666666665,wup,Dangerous
0.26,0.625,0.6,0.75,0.6666666666666665,wup,Dangerous
0.27,0.625,0.6,0.75,0.6666666666666665,wup,Dangerous
0.28,0.625,0.6,0.75,0.6666666666666665,wup,Dangerous
0.29,0.625,0.6,0.75,0.6666666666666665,wup,Dangerous
0.3,0.625,0.6,0.75,0.6666666666666665,wup,Dangerous
0.31,0.625,0.6,0.75,0.6666666666666665,wup,Dangerous
0.32,0.625,0.6,0.75,0.6666666666666665,wup,Dangerous
0.33,0.625,0.6,0.75,0.6666666666666665,wup,Dangerous
0.34,0.625,0.6,0.75,0.6666666666666665,wup,Dangerous
0.35000000000000003,0.625,0.6,0.75,0.6666666666666665,wup,Dangerous
0.36,0.625,0.6,0.75,0.6666666666666665,wup,Dangerous
0.37,0.625,0.6,0.75,0.6666666666666665,wup,Dangerous
0.38,0.625,0.6,0.75,0.6666666666666665,wup,Dangerous
0.39,0.625,0.6,0.75,0.6666666666666665,wup,Dangerous
0.4,0.625,0.6,0.75,0.6666666666666665,wup,Dangerous
0.41000000000000003,0.625,0.6,0.75,0.6666666666666665,wup,Dangerous
0.42,0.625,0.6,0.75,0.6666666666666665,wup,Dangerous
0.43,0.625,0.6,0.75,0.6666666666666665,wup,Dangerous
0.44,0.625,0.6,0.75,0.6666666666666665,wup,Dangerous
0.45,0.625,0.6,0.75,0.6666666666666665,wup,Dangerous
0.46,0.625,0.6,0.75,0.6666666666666665,wup,Dangerous
0.47000000000000003,0.625,0.6,0.75,0.6666666666666665,wup,Dangerous
0.48,0.625,0.6,0.75,0.6666666666666665,wup,Dangerous
0.49,0.625,0.6,0.75,0.6666666666666665,wup,Dangerous
0.5,0.625,0.6,0.75,0.6666666666666665,wup,Dangerous
0.51,0.625,0.6,0.75,0.6666666666666665,wup,Dangerous
0.52,0.625,0.6,0.75,0.6666666666666665,wup,Dangerous
0.53,0.625,0.6,0.75,0.6666666666666665,wup,Dangerous
0.54,0.625,0.6,0.75,0.6666666666666665,wup,Dangerous
0.55,0.625,0.6,0.75,0.6666666666666665,wup,Dangerous
0.56,0.625,0.6,0.75,0.6666666666666665,wup,Dangerous
0.5700000000000001,0.625,0.6,0.75,0.6666666666666665,wup,Dangerous
0.58,0.625,0.6,0.75,0.6666666666666665,wup,Dangerous
0.59,0.625,0.6,0.75,0.6666666666666665,wup,Dangerous
0.6,0.625,0.6,0.75,0.6666666666666665,wup,Dangerous
0.61,0.625,0.6,0.75,0.6666666666666665,wup,Dangerous
0.62,0.625,0.6,0.75,0.6666666666666665,wup,Dangerous
0.63,0.625,0.6,0.75,0.6666666666666665,wup,Dangerous
0.64,0.625,0.6,0.75,0.6666666666666665,wup,Dangerous
0.65,0.625,0.6,0.75,0.6666666666666665,wup,Dangerous
0.66,0.625,0.6,0.75,0.6666666666666665,wup,Dangerous
0.67,0.625,0.6,0.75,0.6666666666666665,wup,Dangerous
0.68,0.75,0.75,0.75,0.75,wup,Dangerous
0.6900000000000001,0.75,0.75,0.75,0.75,wup,Dangerous
0.7000000000000001,0.75,0.75,0.75,0.75,wup,Dangerous
0.71,0.75,0.75,0.75,0.75,wup,Dangerous
0.72,0.75,0.75,0.75,0.75,wup,Dangerous
0.73,0.75,0.75,0.75,0.75,wup,Dangerous
0.74,0.75,0.75,0.75,0.75,wup,Dangerous
0.75,0.75,0.75,0.75,0.75,wup,Dangerous
0.76,0.75,0.75,0.75,0.75,wup,Dangerous
0.77,0.75,0.75,0.75,0.75,wup,Dangerous
0.78,0.75,0.75,0.75,0.75,wup,Dangerous
0.79,0.75,0.75,0.75,0.75,wup,Dangerous
0.8,0.75,0.75,0.75,0.75,wup,Dangerous
0.81,0.875,1.0,0.75,0.8571428571428571,wup,Dangerous
0.8200000000000001,0.875,1.0,0.75,0.8571428571428571,wup,Dangerous
0.8300000000000001,0.875,1.0,0.75,0.8571428571428571,wup,Dangerous
0.84,0.875,1.0,0.75,0.8571428571428571,wup,Dangerous
0.85,0.875,1.0,0.75,0.8571428571428571,wup,Dangerous
0.86,0.75,1.0,0.5,0.6666666666666666,wup,Dangerous
0.87,0.75,1.0,0.5,0.6666666666666666,wup,Dangerous
0.88,0.75,1.0,0.5,0.6666666666666666,wup,Dangerous
0.89,0.75,1.0,0.5,0.6666666666666666,wup,Dangerous
0.9,0.75,1.0,0.5,0.6666666666666666,wup,Dangerous
0.91,0.75,1.0,0.5,0.6666666666666666,wup,Dangerous
0.92,0.75,1.0,0.5,0.6666666666666666,wup,Dangerous
0.93,0.75,1.0,0.5,0.6666666666666666,wup,Dangerous
0.9400000000000001,0.75,1.0,0.5,0.6666666666666666,wup,Dangerous
0.9500000000000001,0.75,1.0,0.5,0.6666666666666666,wup,Dangerous
0.96,0.75,1.0,0.5,0.6666666666666666,wup,Dangerous
0.97,0.75,1.0,0.5,0.6666666666666666,wup,Dangerous
0.98,0.75,1.0,0.5,0.6666666666666666,wup,Dangerous
0.99,0.75,1.0,0.5,0.6666666666666666,wup,Dangerous
1.0,0.75,1.0,0.5,0.6666666666666666,wup,Dangerous
