Threshold,Precision,Recall,FPR,Method,Category
0.0,0.5,1.0,1.0,wup,Dangerous
0.01,0.6666666666666666,1.0,0.5,wup,Dangerous
0.02,0.6666666666666666,1.0,0.5,wup,Dangerous
0.03,0.6666666666666666,1.0,0.5,wup,Dangerous
0.04,0.6666666666666666,1.0,0.5,wup,Dangerous
0.05,0.6666666666666666,1.0,0.5,wup,Dangerous
0.06,0.6666666666666666,1.0,0.5,wup,Dangerous
0.07,0.6666666666666666,1.0,0.5,wup,Dangerous
0.08,0.6666666666666666,1.0,0.5,wup,Dangerous
0.09,0.6666666666666666,1.0,0.5,wup,Dangerous
0.1,0.6666666666666666,1.0,0.5,wup,Dangerous
0.11,0.6666666666666666,1.0,0.5,wup,Dangerous
0.12,0.6666666666666666,1.0,0.5,wup,Dangerous
0.13,0.6666666666666666,1.0,0.5,wup,Dangerous
0.14,0.6666666666666666,1.0,0.5,wup,Dangerous
0.15,0.6666666666666666,1.0,0.5,wup,Dangerous
0.16,0.6666666666666666,1.0,0.5,wup,Dangerous
0.17,0.6666666666666666,1.0,0.5,wup,Dangerous
0.18,0.6666666666666666,1.0,0.5,wup,Dangerous
0.19,0.6666666666666666,1.0,0.5,wup,Dangerous
0.2,0.6666666666666666,1.0,0.5,wup,Dangerous
0.21,0.6666666666666666,1.0,0.5,wup,Dangerous
0.22,0.6666666666666666,1.0,0.5,wup,Dangerous
0.23,0.6666666666666666,1.0,0.5,wup,Dangerous
0.24,0.6,0.75,0.5,wup,Dangerous
0.25,0.6,0.75,0.5,wup,Dangerous
0.26,0.6,0.75,0.5,wup,Dangerous
0.27,0.6,0.75,0.5,wup,Dangerous
0.28,0.6,0.75,0.5,wup,Dangerous
0.29,0.6,0.75,0.5,wup,Dangerous
0.3,0.6,0.75,0.5,wup,Dangerous
0.31,0.6,0.75,0.5,wup,Dangerous
0.32,0.6,0.75,0.5,wup,Dangerous
0.33,0.6,0.75,0.5,wup,Dangerous
0.34,0.6,0.75,0.5,wup,Dangerous
0.35000000000000003,0.6,0.75,0.5,wup,Dangerous
0.36,0.6,0.75,0.5,wup,Dangerous
0.37,0.6,0.75,0.5,wup,Dangerous
0.38,0.6,0.75,0.5,wup,Dangerous
0.39,0.6,0.75,0.5,wup,Dangerous
0.4,0.6,0.75,0.5,wup,Dangerous
0.41000000000000003,0.6,0.75,0.5,wup,Dangerous
0.42,0.6,0.75,0.5,wup,Dangerous
0.43,0.6,0.75,0.5,wup,Dangerous
0.44,0.6,0.75,0.5,wup,Dangerous
0.45,0.6,0.75,0.5,wup,Dangerous
0.46,0.6,0.75,0.5,wup,Dangerous
0.47000000000000003,0.6,0.75,0.5,wup,Dangerous
0.48,0.6,0.75,0.5,wup,Dangerous
0.49,0.6,0.75,0.5,wup,Dangerous
0.5,0.6,0.75,0.5,wup,Dangerous
0.51,0.6,0.75,0.5,wup,Dangerous
0.52,0.6,0.75,0.5,wup,Dangerous
0.53,0.6,0.75,0.5,wup,Dangerous
0.54,0.6,0.75,0.5,wup,Dangerous
0.55,0.6,0.75,0.5,wup,Dangerous
0.56,0.6,0.75,0.5,wup,Dangerous
0.5700000000000001,0.6,0.75,0.5,wup,Dangerous
0.58,0.6,0.75,0.5,wup,Dangerous
0.59,0.6,0.75,0.5,wup,Dangerous
0.6,0.6,0.75,0.5,wup,Dangerous
0.61,0.6,0.75,0.5,wup,Dangerous
0.62,0.6,0.75,0.5,wup,Dangerous
0.63,0.6,0.75,0.5,wup,Dangerous
0.64,0.6,0.75,0.5,wup,Dangerous
0.65,0.6,0.75,0.5,wup,Dangerous
0.66,0.6,0.75,0.5,wup,Dangerous
0.67,0.6,0.75,0.5,wup,Dangerous
0.68,0.75,0.75,0.25,wup,Dangerous
0.6900000000000001,0.75,0.75,0.25,wup,Dangerous
0.7000000000000001,0.75,0.75,0.25,wup,Dangerous
0.71,0.75,0.75,0.25,wup,Dangerous
0.72,0.75,0.75,0.25,wup,Dangerous
0.73,0.75,0.75,0.25,wup,Dangerous
0.74,0.75,0.75,0.25,wup,Dangerous
0.75,0.75,0.75,0.25,wup,Dangerous
0.76,0.75,0.75,0.25,wup,Dangerous
0.77,0.75,0.75,0.25,wup,Dangerous
0.78,0.75,0.75,0.25,wup,Dangerous
0.79,0.75,0.75,0.25,wup,Dangerous
0.8,0.75,0.75,0.25,wup,Dangerous
0.81,1.0,0.75,0.0,wup,Dangerous
0.8200000000000001,1.0,0.75,0.0,wup,Dangerous
0.8300000000000001,1.0,0.75,0.0,wup,Dangerous
0.84,1.0,0.75,0.0,wup,Dangerous
0.85,1.0,0.75,0.0,wup,Dangerous
0.86,1.0,0.5,0.0,wup,Dangerous
0.87,1.0,0.5,0.0,wup,Dangerous
0.88,1.0,0.5,0.0,wup,Dangerous
0.89,1.0,0.5,0.0,wup,Dangerous
0.9,1.0,0.5,0.0,wup,Dangerous
0.91,1.0,0.5,0.0,wup,Dangerous
0.92,1.0,0.5,0.0,wup,Dangerous
0.93,1.0,0.5,0.0,wup,Dangerous
0.9400000000000001,1.0,0.5,0.0,wup,Dangerous
0.9500000000000001,1.0,0.5,0.0,wup,Dangerous
0.96,1.0,0.5,0.0,wup,Dangerous
0.97,1.0,0.5,0.0,wup,Dangerous
0.98,1.0,0.5,0.0,wup,Dangerous
0.99,1.0,0.5,0.0,wup,Dangerous
1.0,1.0,0.5,0.0,wup,Dangerous
0.0,0.5,1.0,1.0,res,Safe
0.01,0.75,0.75,0.25,res,Safe
0.02,0.75,0.75,0.25,res,Safe
0.03,0.75,0.75,0.25,res,Safe
0.04,0.75,0.75,0.25,res,Safe
0.05,0.75,0.75,0.25,res,Safe
0.06,0.6666666666666666,0.5,0.25,res,Safe
0.07,0.6666666666666666,0.5,0.25,res,Safe
0.08,0.6666666666666666,0.5,0.25,res,Safe
0.09,0.6666666666666666,0.5,0.25,res,Safe
0.1,0.6666666666666666,0.5,0.25,res,Safe
0.11,0.6666666666666666,0.5,0.25,res,Safe
0.12,0.6666666666666666,0.5,0.25,res,Safe
0.13,0.6666666666666666,0.5,0.25,res,Safe
0.14,0.6666666666666666,0.5,0.25,res,Safe
