Method,Metric,Best Value,Best Threshold,Accuracy,Precision,Recall,F1 Score
wup,Accuracy,0.75,0.73,0.75,0.7142857142857143,1.0,0.8333333333333333
wup,Precision,1.0,0.81,0.5,1.0,0.2,0.33333333333333337
wup,Recall,1.0,0.0,0.625,0.625,1.0,0.7692307692307693
wup,F1 Score,0.8333333333333333,0.73,0.75,0.7142857142857143,1.0,0.8333333333333333
res,Accuracy,0.75,0.5700000000000001,0.75,0.7142857142857143,1.0,0.8333333333333333
res,Precision,0.8,0.59,0.75,0.8,0.8,0.8000000000000002
res,Recall,1.0,0.0,0.625,0.625,1.0,0.7692307692307693
res,F1 Score,0.8333333333333333,0.5700000000000001,0.75,0.7142857142857143,1.0,0.8333333333333333
jcn,Accuracy,0.75,0.59,0.75,0.7142857142857143,1.0,0.8333333333333333
jcn,Precision,1.0,0.85,0.5,1.0,0.2,0.33333333333333337
jcn,Recall,1.0,0.0,0.625,0.625,1.0,0.7692307692307693
jcn,F1 Score,0.8333333333333333,0.59,0.75,0.7142857142857143,1.0,0.8333333333333333
lin,Accuracy,0.75,0.62,0.75,0.7142857142857143,1.0,0.8333333333333333
lin,Precision,1.0,0.74,0.625,1.0,0.4,0.5714285714285715
lin,Recall,1.0,0.0,0.625,0.625,1.0,0.7692307692307693
lin,F1 Score,0.8333333333333333,0.62,0.75,0.7142857142857143,1.0,0.8333333333333333
path,Accuracy,0.75,0.5,0.75,0.7142857142857143,1.0,0.8333333333333333
path,Precision,1.0,0.67,0.625,1.0,0.4,0.5714285714285715
path,Recall,1.0,0.0,0.625,0.625,1.0,0.7692307692307693
path,F1 Score,0.8333333333333333,0.5,0.75,0.7142857142857143,1.0,0.8333333333333333
lch,Accuracy,0.875,0.66,0.875,0.8333333333333334,1.0,0.9090909090909091
lch,Precision,1.0,0.68,0.75,1.0,0.6,0.7499999999999999
lch,Recall,1.0,0.0,0.625,0.625,1.0,0.7692307692307693
lch,F1 Score,0.9090909090909091,0.66,0.875,0.8333333333333334,1.0,0.9090909090909091
