Threshold,Accuracy,Precision,Recall,F1 Score,Method,Category
0.0,0.9,0.9,1.0,0.9473684210526316,wup,Dangerous
0.01,0.9,0.9,1.0,0.9473684210526316,wup,Dangerous
0.02,0.9,0.9,1.0,0.9473684210526316,wup,Dangerous
0.03,0.9,0.9,1.0,0.9473684210526316,wup,Dangerous
0.04,0.9,0.9,1.0,0.9473684210526316,wup,Dangerous
0.05,0.9,0.9,1.0,0.9473684210526316,wup,Dangerous
0.06,0.9,0.9,1.0,0.9473684210526316,wup,Dangerous
0.07,0.9,0.9,1.0,0.9473684210526316,wup,Dangerous
0.08,0.9,0.9,1.0,0.9473684210526316,wup,Dangerous
0.09,0.9,0.9,1.0,0.9473684210526316,wup,Dangerous
0.1,0.85,0.8947368421052632,0.9444444444444444,0.918918918918919,wup,Dangerous
0.11,0.85,0.8947368421052632,0.9444444444444444,0.918918918918919,wup,Dangerous
0.12,0.85,0.8947368421052632,0.9444444444444444,0.918918918918919,wup,Dangerous
0.13,0.85,0.8947368421052632,0.9444444444444444,0.918918918918919,wup,Dangerous
0.14,0.85,0.8947368421052632,0.9444444444444444,0.918918918918919,wup,Dangerous
0.15,0.8,0.8888888888888888,0.8888888888888888,0.8888888888888888,wup,Dangerous
0.16,0.8,0.8888888888888888,0.8888888888888888,0.8888888888888888,wup,Dangerous
0.17,0.8,0.8888888888888888,0.8888888888888888,0.8888888888888888,wup,Dangerous
0.18,0.8,0.8888888888888888,0.8888888888888888,0.8888888888888888,wup,Dangerous
0.19,0.8,0.8888888888888888,0.8888888888888888,0.8888888888888888,wup,Dangerous
0.2,0.8,0.8888888888888888,0.8888888888888888,0.8888888888888888,wup,Dangerous
0.21,0.8,0.8888888888888888,0.8888888888888888,0.8888888888888888,wup,Dangerous
0.22,0.75,0.8823529411764706,0.8333333333333334,0.8571428571428571,wup,Dangerous
0.23,0.75,0.9333333333333333,0.7777777777777778,0.8484848484848485,wup,Dangerous
0.24,0.75,0.9333333333333333,0.7777777777777778,0.8484848484848485,wup,Dangerous
0.25,0.75,0.9333333333333333,0.7777777777777778,0.8484848484848485,wup,Dangerous
0.26,0.75,0.9333333333333333,0.7777777777777778,0.8484848484848485,wup,Dangerous
0.27,0.75,0.9333333333333333,0.7777777777777778,0.8484848484848485,wup,Dangerous
0.28,0.75,0.9333333333333333,0.7777777777777778,0.8484848484848485,wup,Dangerous
