Method,Metric,Best Value,Threshold,Accuracy,Precision,Recall,F1 Score
wup,Accuracy,0.9,0.0,0.9,0.9,1.0,0.9473684210526316
wup,Precision,1.0,0.46,0.7,1.0,0.6666666666666666,0.8
wup,Recall,1.0,0.0,0.9,0.9,1.0,0.9473684210526316
wup,F1 Score,0.9473684210526316,0.0,0.9,0.9,1.0,0.9473684210526316
res,Accuracy,0.95,0.23,0.95,0.9473684210526315,1.0,0.972972972972973
res,Precision,1.0,0.29,0.95,1.0,0.9444444444444444,0.9714285714285714
res,Recall,1.0,0.0,0.9,0.9,1.0,0.9473684210526316
res,F1 Score,0.972972972972973,0.23,0.95,0.9473684210526315,1.0,0.972972972972973
jcn,Accuracy,0.9,0.0,0.9,0.9,1.0,0.9473684210526316
jcn,Precision,1.0,0.28,0.3,1.0,0.2222222222222222,0.3636363636363636
jcn,Recall,1.0,0.0,0.9,0.9,1.0,0.9473684210526316
jcn,F1 Score,0.9473684210526316,0.0,0.9,0.9,1.0,0.9473684210526316
lin,Accuracy,0.95,0.28,0.95,0.9473684210526315,1.0,0.972972972972973
lin,Precision,1.0,0.44,0.8,1.0,0.7777777777777778,0.8750000000000001
lin,Recall,1.0,0.0,0.9,0.9,1.0,0.9473684210526316
lin,F1 Score,0.972972972972973,0.28,0.95,0.9473684210526315,1.0,0.972972972972973
path,Accuracy,0.9,0.0,0.9,0.9,1.0,0.9473684210526316
path,Precision,1.0,0.48,0.8,1.0,0.7777777777777778,0.8750000000000001
path,Recall,1.0,0.0,0.9,0.9,1.0,0.9473684210526316
path,F1 Score,0.9473684210526316,0.0,0.9,0.9,1.0,0.9473684210526316
lch,Accuracy,0.9,0.0,0.9,0.9,1.0,0.9473684210526316
lch,Precision,1.0,0.36,0.9,1.0,0.8888888888888888,0.9411764705882353
lch,Recall,1.0,0.0,0.9,0.9,1.0,0.9473684210526316
lch,F1 Score,0.9473684210526316,0.0,0.9,0.9,1.0,0.9473684210526316
